step,x_struct_raw_left_leg_norm,x_struct_raw_right_leg_norm,x_struct_raw_torso_norm,x_struct_raw_left_leg_var,x_struct_raw_right_leg_var,x_struct_raw_torso_var,x_struct_mixed_left_leg_norm,x_struct_mixed_right_leg_norm,x_struct_mixed_torso_norm,x_struct_mixed_left_leg_var,x_struct_mixed_right_leg_var,x_struct_mixed_torso_var,x_struct_norm_left_leg_norm,x_struct_norm_right_leg_norm,x_struct_norm_torso_norm,x_struct_norm_left_leg_var,x_struct_norm_right_leg_var,x_struct_norm_torso_var,h_struct_proj_left_leg_norm,h_struct_proj_right_leg_norm,h_struct_proj_torso_norm,h_struct_proj_left_leg_var,h_struct_proj_right_leg_var,h_struct_proj_torso_var,h_struct_pre_norm_left_leg_norm,h_struct_pre_norm_right_leg_norm,h_struct_pre_norm_torso_norm,h_struct_pre_norm_left_leg_var,h_struct_pre_norm_right_leg_var,h_struct_pre_norm_torso_var,h_struct_pre_inject_left_leg_norm,h_struct_pre_inject_right_leg_norm,h_struct_pre_inject_torso_norm,h_struct_pre_inject_left_leg_var,h_struct_pre_inject_right_leg_var,h_struct_pre_inject_torso_var,h_struct_post_inject_left_leg_norm,h_struct_post_inject_right_leg_norm,h_struct_post_inject_torso_norm,h_struct_post_inject_left_leg_var,h_struct_post_inject_right_leg_var,h_struct_post_inject_torso_var
3000,4.9397225380,4.9414124489,4.9599447250,2.3256340027,2.3186941147,2.3600974083,5.3459620476,5.3600897789,5.3219990730,2.2972955704,2.2990136147,2.3014895916,4.0342693329,4.0335273743,4.0250692368,0.9573754072,0.9570212364,0.9530420303,8.6704149246,8.6346101761,8.5246219635,0.2937439978,0.2913730741,0.2842443585,15.9693078995,15.9683637619,15.9548454285,0.9961817265,0.9960646629,0.9943840504,16.2974319458,16.2960433960,16.2858943939,1.0375289917,1.0373523235,1.0360620022,16.0830745697,16.0806789398,16.0661659241,1.0104141235,1.0101130009,1.0082967281
4000,5.6949696541,5.7006354332,5.6931614876,2.5477182865,2.5703167915,2.5754797459,6.0576953888,6.0708861351,6.0054416656,2.5178349018,2.5371513367,2.5105333328,4.0309791565,4.0318102837,4.0208439827,0.9558777213,0.9562795758,0.9511423707,8.6873254776,8.6499671936,8.5010719299,0.2950928807,0.2926895618,0.2829839587,15.9651088715,15.9635047913,15.9472942352,0.9956573248,0.9954589605,0.9934431911,16.3525409698,16.3504467010,16.3385639191,1.0445576906,1.0442903042,1.0427745581,16.0954895020,16.0909328461,16.0649681091,1.0119792223,1.0114060640,1.0081571341
5000,6.2830319405,6.2875275612,6.3233671188,2.8369846344,2.8602595329,2.9054658413,6.6046628952,6.6226429939,6.5681033134,2.7636387348,2.7934503555,2.7942240238,4.0147347450,4.0154147148,4.0016403198,0.9481466413,0.9484766722,0.9420472980,8.5345163345,8.4902505875,8.3343324661,0.2845530510,0.2816635370,0.2717169523,15.9494600296,15.9485855103,15.9336814880,0.9937088490,0.9936002493,0.9917477965,16.3972816467,16.3955726624,16.3863945007,1.0502814054,1.0500621796,1.0488876104,16.0844440460,16.0809783936,16.0483379364,1.0105937719,1.0101586580,1.0060856342
6000,6.4792695045,6.4808373451,6.5135917664,3.0059957504,2.9910180569,3.0787751675,6.7979693413,6.8082475662,6.7624435425,2.9359531403,2.9208817482,2.9779305458,4.0078945160,4.0084433556,3.9930226803,0.9450206161,0.9452716112,0.9380962253,8.5092515945,8.4728555679,8.3117618561,0.2832630575,0.2809056640,0.2706670165,15.9466352463,15.9482584000,15.9378566742,0.9933611751,0.9935621023,0.9922709465,16.4515991211,16.4512042999,16.4476833344,1.0572535992,1.0572012663,1.0567492247,16.0821571350,16.0722045898,16.0384941101,1.0103120804,1.0090627670,1.0048700571
7000,5.8763222694,5.8821387291,5.8494729996,2.6521701813,2.6631143093,2.6644709110,6.2170519829,6.2282476425,6.1178584099,2.6020605564,2.6175568104,2.5793554783,3.9987132549,3.9984939098,3.9845345020,0.9407336712,0.9406354427,0.9341866970,8.5313282013,8.5193605423,8.3481960297,0.2848179936,0.2843117714,0.2733279765,15.9617862701,15.9673671722,15.9576358795,0.9952487350,0.9959453940,0.9947347641,16.5142402649,16.5173912048,16.5153636932,1.0653194189,1.0657258034,1.0654628277,16.0829868317,16.0772132874,16.0254726410,1.0104229450,1.0097004175,1.0032545328
8000,6.8455533981,6.8534183502,6.9097223282,3.2640221119,3.2832844257,3.3692133427,7.1242294312,7.1650314331,7.1117839813,3.1744835377,3.2042229176,3.2480201721,3.9803497791,3.9813671112,3.9648852348,0.9320967197,0.9325837493,0.9249746799,8.3675394058,8.3411483765,8.1581239700,0.2739411592,0.2723328769,0.2608039677,15.9400730133,15.9409799576,15.9376316071,0.9925467968,0.9926602244,0.9922441840,16.5524559021,16.5520248413,16.5574245453,1.0702582598,1.0702009201,1.0708986521,16.0714550018,16.0628185272,16.0019550323,1.0089862347,1.0079019070,1.0003412962
9000,6.6858224869,6.6819009781,6.6486363411,3.0033953190,3.0166718960,2.9905502796,6.9912290573,7.0194950104,6.8765206337,2.9599924088,2.9752237797,2.9081640244,3.9910933971,3.9936962128,3.9734799862,0.9372752309,0.9385262132,0.9291865826,8.5128545761,8.4884395599,8.2953958511,0.2840741277,0.2824308276,0.2703993618,15.9528293610,15.9546670914,15.9585008621,0.9941342473,0.9943620563,0.9948433042,16.6149330139,16.6153717041,16.6288070679,1.0783540010,1.0784078836,1.0801535845,16.0754013062,16.0604553223,15.9824733734,1.0094974041,1.0076211691,0.9979370832
10000,5.6130146980,5.6182260513,5.6413278580,2.5607819557,2.5682778358,2.6179611683,5.9402880669,5.9657268524,5.9123296738,2.5062847137,2.5275599957,2.5516245365,3.9628245831,3.9633729458,3.9470276833,0.9239950180,0.9242573977,0.9167550206,8.3912429810,8.3738470078,8.2152900696,0.2755628824,0.2745010555,0.2646753490,15.9685277939,15.9697427750,15.9770956039,0.9960914254,0.9962421060,0.9971611500,16.6722488403,16.6723423004,16.6927394867,1.0858027935,1.0858134031,1.0884716511,16.0465812683,16.0405292511,15.9793529510,1.0058785677,1.0051229000,0.9975708723
11000,6.4062805176,6.4127283096,6.4180870056,2.8683762550,2.8964090347,2.9009025097,6.7127470970,6.7471666336,6.6475596428,2.8280696869,2.8590524197,2.8279213905,3.9717226028,3.9743974209,3.9531955719,0.9282465577,0.9295264482,0.9197719693,8.4361400604,8.4528236389,8.2112541199,0.2788215280,0.2803481519,0.2646737397,15.9561138153,15.9621915817,15.9682435989,0.9945431948,0.9953029156,0.9960600138,16.7217197418,16.7268524170,16.7485752106,1.0922598839,1.0929300785,1.0957735777,16.0522212982,16.0425071716,15.9521522522,1.0066113472,1.0054035187,0.9942184687
12000,5.9773082733,5.9919033051,5.9950571060,2.8160045147,2.8478980064,2.8780086040,6.2935461998,6.3313732147,6.2378311157,2.7711071968,2.8155438900,2.8076381683,3.9443421364,3.9483220577,3.9302399158,0.9155284166,0.9174417853,0.9091501832,8.3344717026,8.3224315643,8.1603641510,0.2724047601,0.2718304098,0.2619088292,15.9619159698,15.9651746750,15.9829292297,0.9952710867,0.9956805110,0.9979022145,16.7755527496,16.7791690826,16.8130264282,1.0993041992,1.0997791290,1.1042307615,16.0357284546,16.0261001587,15.9322900772,1.0045559406,1.0033557415,0.9917775989
